case_id,pair,method,initial_x_m,initial_y_m,initial_z_m,initial_vx_mps,initial_vy_mps,initial_vz_mps,burn_time_s,propellant_kg,final_x_m,final_y_m,final_z_m,final_vx_mps,final_vy_mps,final_vz_mps,final_speed_mps,position_error_m,max_thrust_N,runtime_s,success
7,T,Optimizer-T,-445.7324266438614,-94.70839381909832,779.4153805765554,53.08264658214706,11.278901639074263,-90.61732070928194,16.566155853397017,950.2187462115835,-2.639355400901877e-11,-5.5992988023945145e-12,1.2642153990327643e-10,-5.0733639511690853e-11,-1.0780487613715195e-11,2.419291433852777e-10,2.474264163552993e-10,1.292686257056259e-10,180000.0,14.96955560008064,True
7,A,ESPDI-A,272.10766279798236,172.33439987587076,936.1275789208901,-2.1344800480295376,-35.893558376613754,-72.70518388931319,19.314630447057116,1004.8713295967191,-5.684341886080801e-13,2.2737367544323206e-13,-1.3926637620897964e-12,-2.842170943040401e-14,7.105427357601002e-15,-2.0605739337042905e-13,2.0812959911434078e-13,1.5212917436511629e-12,180000.00148833677,3.8411500999936834,True
7,A,Optimizer-A,272.10766279798236,172.33439987587076,936.1275789208901,-2.1344800480295376,-35.893558376613754,-72.70518388931319,18.497115119400085,979.8940561174531,-7.971411400466093e-08,7.699072393283169e-08,1.8500165843704508e-07,3.860201047700684e-11,-4.243161377814886e-12,5.851319428984425e-12,3.927286048157349e-11,2.1565603438741675e-07,180000.00000910208,15.759419099893421,True
8,T,ESPDI-T,-332.97312498865875,-34.29705726681639,1058.2103145149692,35.01482466762455,3.606613737531994,-108.45288749954258,18.7263522515779,1074.1255312983612,4.779829700401309e-12,4.951657977483039e-13,-4.0283256189892604e-11,8.92830948062695e-13,9.035187962386226e-14,-7.510960603474004e-12,7.564379667289888e-12,4.0568863558061605e-11,180000.0,0.7082212000386789,True
8,T,Optimizer-T,-332.97312498865875,-34.29705726681639,1058.2103145149692,35.01482466762455,3.606613737531994,-108.45288749954258,18.7263522515779,1074.1255312989306,5.476241682345062e-11,5.634853694758135e-12,-4.5641002088814275e-10,-2.877698079828406e-13,-3.008704396734174e-14,2.48334686148155e-12,2.5001456611628528e-12,4.5971815391565906e-10,180000.0,5.4483580000232905,True
8,A,ESPDI-A,95.48978804704859,134.55451651800968,1073.4570160603234,-44.20088737322048,-21.04001847482085,-60.971336427397794,21.6604720020174,1061.7977189053327,0.0,5.044853423896711e-13,1.3642420526593924e-12,1.4210854715202004e-13,7.105427357601002e-14,1.4210854715202004e-13,2.1316282072803006e-13,1.4545314843379417e-12,180000.07325890826,4.29013490001671,True
8,A,Optimizer-A,95.48978804704859,134.55451651800968,1073.4570160603234,-44.20088737322048,-21.04001847482085,-60.971336427397794,20.131563654909517,1020.5780978627554,1.9634229976928644e-07,6.599549528520825e-08,9.797226852015228e-08,-3.652100843964945e-11,1.686113054732985e-12,3.5565506095736055e-10,3.575292287621617e-10,2.2913810131799797e-07,180000.00000381455,30.50244010007009,True
9,T,ESPDI-T,-118.51040529173395,209.1110523225264,523.1723296207226,17.234282200264303,-30.40980982259811,-74.60386114910189,13.60051137723911,780.11223503367,-6.110636159445135e-12,1.1320312122835227e-11,7.379346252575021e-11,3.2793873953190777e-13,-5.265924415270851e-13,-3.871461311255597e-12,3.920848900545409e-12,7.490637124017442e-11,180000.0,0.4201878000749275,True
9,T,Optimizer-T,-118.51040529173395,209.1110523225264,523.1723296207226,17.234282200264303,-30.40980982259811,-74.60386114910189,13.600511377239112,780.1122350340884,2.5996871322320203e-11,-4.580336110393546e-11,-3.136335635645082e-10,-1.6719958750854857e-13,3.028688411177427e-13,2.021494083237485e-12,2.050883606045744e-12,3.1802483771104923e-10,180000.0,2.1170715999323875,True
9,A,ESPDI-A,24.890693132018782,152.9687264309208,1644.2014837672707,-42.76903214936297,35.97868618699869,-58.351587197667136,27.405229256599707,1317.1139773636805,6.821210263296962e-13,-4.547473508864641e-13,-1.1368683772161603e-12,8.526512829121202e-14,-8.526512829121202e-14,-7.105427357601002e-14,1.399606873320082e-13,1.401625468808783e-12,180000.04382760354,3.84194379998371,True
